n_stations,D,r_mec,D_over_2,kappa,covered,area
2,2010.0013869279576,1005.0006934639788,1005.0006934639788,1.0,True,22855.195622631247
2,2532.715831376176,1266.357915688088,1266.357915688088,1.0,True,33799.06037618201
2,1696.6482834805663,848.3241417402832,848.3241417402832,1.0,True,16259.32642121987
2,2560.5419369524625,1280.2709684762312,1280.2709684762312,1.0,True,57235.70233900188
2,2220.4455450686005,1110.2227725343002,1110.2227725343002,1.0,True,42365.87052653189
2,2461.4818980405216,1230.7409490202608,1230.7409490202608,1.0,True,40380.9908856379
2,2328.3069856386246,1164.1534928193123,1164.1534928193123,1.0,True,47290.22353448835
2,2443.6745073163393,1221.8372536581696,1221.8372536581696,1.0,True,51278.37981175371
2,2032.113621734589,1016.0568108672945,1016.0568108672945,1.0,True,36027.300706639464
2,1900.4855007942076,950.2427503971038,950.2427503971038,1.0,True,30566.026692775908
2,2010.2790475005897,1005.1395237502949,1005.1395237502949,1.0,True,34651.33684959244
2,2262.0049116617206,1131.0024558308603,1131.0024558308603,1.0,True,32403.70316138695
2,1973.8796753258964,986.9398376629482,986.9398376629482,1.0,True,12703.594947637686
2,2138.9093482929125,1069.4546741464562,1069.4546741464562,1.0,True,22510.066018522295
2,1989.1459127357002,994.5729563678501,994.5729563678501,1.0,True,15037.499545336694
2,1601.499876095718,800.749938047859,800.749938047859,1.0,True,20507.978326177275
2,1948.0499546935307,974.0249773467654,974.0249773467654,1.0,True,29997.501325488785
2,1998.382114006694,999.191057003347,999.191057003347,1.0,True,31547.464456962658
2,2355.859358458301,1177.9296792291505,1177.9296792291505,1.0,True,45731.87798678554
2,1927.5489305942906,963.7744652971453,963.7744652971453,1.0,True,31518.303872755634
2,1848.6132859647473,924.3066429823737,924.3066429823737,1.0,True,28898.38469623431
2,2014.5297521913515,1007.2648760956757,1007.2648760956757,1.0,True,16953.29729197458
2,2028.5546411996245,1014.2773205998122,1014.2773205998122,1.0,True,12542.415655222085
2,2016.5617125834535,1008.2808562917268,1008.2808562917268,1.0,True,34965.68436460017
2,1984.0764170790922,992.0382085395461,992.0382085395461,1.0,True,30768.16161222939
2,2101.77613677169,1050.888068385845,1050.888068385845,1.0,True,37706.53390814939
2,1959.5435075403798,979.7717537701899,979.7717537701899,1.0,True,26946.70098468042
2,1852.0136194052116,926.0068097026058,926.0068097026058,1.0,True,29524.78922783886
2,2485.771684366101,1242.8858421830505,1242.8858421830505,1.0,True,52326.09617476425
2,1872.0887128346671,936.0443564173336,936.0443564173336,1.0,True,29338.602508750348
2,1968.2618615138438,984.1309307569219,984.1309307569219,1.0,True,19698.33440381125
2,2477.457434403012,1238.728717201506,1238.728717201506,1.0,True,49987.76889439586
2,1722.8533453598322,861.4266726799161,861.4266726799161,1.0,True,23625.85041054593
2,1668.77026080893,834.385130404465,834.385130404465,1.0,True,17339.015635839503
2,2385.045836821869,1192.5229184109346,1192.5229184109346,1.0,True,49602.6920362276
2,2537.652150133049,1268.8260750665245,1268.8260750665245,1.0,True,46675.612640715495
2,2205.4400067215247,1102.7200033607623,1102.7200033607623,1.0,True,41733.86016883219
2,2429.000694327829,1214.5003471639145,1214.5003471639145,1.0,True,49103.54518916008
2,2000.440829420209,1000.2204147101045,1000.2204147101045,1.0,True,33556.32658169502
2,2079.4694387920576,1039.7347193960288,1039.7347193960288,1.0,True,35999.195476085566
2,2312.287251425002,1156.143625712501,1156.143625712501,1.0,True,45867.62520584297
2,2297.517295685143,1148.7586478425715,1148.7586478425715,1.0,True,42612.122635838125
2,2316.262079622511,1158.1310398112555,1158.1310398112555,1.0,True,43686.39561190705
