scan_index,x,y,channel,source_id,measured_bearing_deg
42,780.0,780.0,20,7,186.90886580724123
45,780.0,1210.0,3,5,235.53594619680007
45,780.0,1210.0,20,7,207.6339888969319
46,350.0,1210.0,3,5,251.365406735784
46,350.0,1210.0,15,9,215.8904311747372
46,350.0,1210.0,20,7,220.24159092864718
47,-80.0,1210.0,3,5,273.4882553492852
47,-80.0,1210.0,8,3,177.6304752811032
47,-80.0,1210.0,14,8,170.1254084676186
47,-80.0,1210.0,15,9,228.98710910303566
47,-80.0,1210.0,20,7,250.96606999415425
48,-510.0,1210.0,3,5,293.77150432765615
48,-510.0,1210.0,6,2,237.63348255422213
48,-510.0,1210.0,8,3,174.99122678518003
48,-510.0,1210.0,14,8,160.15659458214748
48,-510.0,1210.0,15,9,255.1794075170179
48,-510.0,1210.0,20,7,293.61166666989743
49,-940.0,1210.0,6,2,257.95496386741473
49,-940.0,1210.0,8,3,136.94440213340238
49,-940.0,1210.0,14,8,83.49588919189777
49,-940.0,1210.0,15,9,288.39335064165954
49,-940.0,1210.0,20,7,320.61578265397
50,-510.0,1640.0,8,3,220.14593565400818
50,-510.0,1640.0,14,8,215.0433757329089
50,-510.0,1640.0,15,9,259.84804418718085
50,-510.0,1640.0,20,7,284.30496887711365
51,-80.0,1640.0,8,3,203.40461474988658
51,-80.0,1640.0,14,8,198.06645662042817
51,-80.0,1640.0,15,9,242.69442377744107
51,-80.0,1640.0,20,7,258.4651550545751
52,350.0,1640.0,20,7,237.83198369935118
