序号,是否为空集,是否退化,直径,是否被覆盖,最小包围圆半径,包围圆半径与直径之比,超出量,交会角,源到测点1距离,测点1_x,测点1_y,测点2_x,测点2_y,源_x,源_y,示向度1,示向度2,交会角分组
52,False,False,365.48966355672343,True,182.74483177836171,0.5,0.0,31.767177663589674,3061.6925165688513,1591.4791153730246,-778.4860039302254,408.88735589942735,360.4670492094388,-1465.0036455119182,-957.0194697758827,184.01297135515378,214.7858334865207,"(30, 45]"
53,False,False,1068.0905665880678,True,534.0452832940339,0.5,0.0,12.253144321728751,3151.573961367671,-1503.6868589339929,259.5090728023583,-549.4828582099309,437.40239259878615,1443.5666218899828,-856.7862974924727,339.0675530453594,327.65086029697426,"(0, 30]"
54,False,False,110.33923803603277,True,55.169619018016384,0.5,1.4210854715202004e-14,142.52809492483857,559.082137147461,1128.2641959683715,1066.698904999486,1231.4926076200654,-835.4781475795329,900.1486802644073,556.2714884430409,246.8551823373798,103.90649573959675,"(120, 150]"
55,False,False,91.614672218585,True,45.8073361092925,0.5,5.684341886080802e-14,103.09930000270333,2152.140945032265,-901.3577715394914,-552.0544519313931,1447.534950951251,446.02294666071026,628.2645966070056,961.8696076403784,43.991803889575436,147.53112220914204,"(90, 105]"
56,False,False,245.86790127866186,True,122.93395063933093,0.5,1.4210854715202004e-14,30.241293068151407,2007.010317600868,953.6727676347638,-1024.9317947695815,1639.8783925691391,-282.02920145974144,305.15763440870586,874.4150763766883,108.23035995765424,138.92542481314047,"(30, 45]"
57,False,False,52.91452474482018,True,26.45726237241009,0.5,3.552713678800501e-15,81.980882717026,962.6656237036526,-793.2952490707846,-465.5756366846817,473.6888392935499,-727.2882513286817,-43.96502741692672,138.76642041288846,39.157696903838,120.74690763182885,"(75, 90]"
58,False,False,67.44155922246051,True,33.720779611230256,0.5,2.1316282072803006e-14,83.28440441137234,586.8110153625918,564.5843857086738,-779.5753220824267,-982.25818961571,126.15069272985153,746.823287450876,-221.7795257172409,71.04532512464498,347.76985142061346,"(75, 90]"
59,False,False,88.36149686572757,True,44.18074843286379,0.5,0.0,86.44568782715407,2389.1168729251576,-636.1015722798016,-1610.6589979516134,731.0381702074517,432.57621338811896,1231.7146329274287,-120.98049033295754,39.13498664146174,311.98230296785977,"(75, 90]"
60,False,False,76.01847744741819,True,38.009238723709096,0.5,5.684341886080802e-14,133.67967476518552,1434.006092979069,-1184.6543206063766,91.06117396887349,-429.48996021137503,1469.0943761598678,-608.2302766279319,1404.1144083141646,67.11253482576097,200.94148379521147,"(120, 150]"
61,False,False,2827.335739818777,True,1413.6678699093884,0.5,0.0,7.468510093953352,2953.1627960972846,977.6174381523495,-821.346167703133,1090.1604797396117,-1359.754604388026,-1665.9766413273805,494.92919983697686,152.95530892479363,146.85500999679897,"(0, 30]"
62,False,False,150.1061478464277,True,75.05307392321384,0.5,0.0,146.64213874310082,961.9526837083454,-1248.0472454082137,568.0097101767037,1092.5566039999876,3.4728643589152264,-452.6948699679271,26.929711862977882,325.9688855714677,180.01034004023347,"(120, 150]"
63,False,False,160.16196135852002,True,80.08098067926001,0.5,1.2789769243681803e-13,47.061070693975466,2561.3797393132922,92.12697991559789,-1270.9369661013582,-469.28181934926266,616.9888046794248,-1611.1126639942936,642.0818221959067,130.8925725972508,178.42541535734873,"(45, 60]"
64,False,False,711.8401264182362,True,355.9200632091181,0.5,5.684341886080802e-14,14.503083541494927,2464.1150180590903,-655.8559644194346,-642.0413920511774,-1108.463616156885,-66.72285751513833,1657.3729152842707,206.97861497403466,19.455051469161894,4.730898167309717,"(0, 30]"
65,False,False,131.86064679522698,True,65.93032339761349,0.5,4.263256414560601e-14,153.01958574952963,1223.7864886939901,436.941744441541,-455.4866716813097,-547.8803741362009,1035.249608927131,-71.9956367512926,657.4536285749737,113.81804353243227,322.039164874182,"(150, 180]"
66,False,False,117.13497620784356,True,58.56748810392178,0.5,7.105427357601002e-15,69.0084380334922,1037.692010334935,1423.8581324842196,-1012.9186030289267,-916.5251970063721,-900.7110715522616,1411.4077779572137,24.698714186389715,89.87767744294186,22.248241844641775,"(60, 75]"
67,False,False,136.80596106435334,True,68.40298053217667,0.5,0.0,31.03833618216134,952.145348948888,-472.4519351407076,-26.516890856361776,-67.18021606328449,-536.3963190661692,-1309.7371332334976,-479.8757581786155,209.30056785373074,177.38842347592262,"(30, 45]"
68,False,False,332.42659750516754,True,166.21329875258377,0.5,5.684341886080802e-14,163.1780854550218,851.1424895905742,1184.9892054609998,-839.6688482646264,-823.7595316386742,763.4832257118175,636.9183571832746,-188.46850823509638,130.57917057779727,326.23240126031175,"(150, 180]"
69,False,False,69.88080493869356,True,34.94040246934678,0.5,4.973799150320701e-14,111.55597299233044,847.6941757534137,1409.0229751665743,-655.4286003469614,-418.4090448755816,-341.10022416840695,899.3570242255219,21.93838590023702,127.04166579743517,14.868678220924057,"(105, 120]"
70,False,False,687.5588847052373,True,343.7794423526187,0.5,0.0,8.241645540521212,1987.58935317924,-1020.2303314358983,323.50122401185257,-593.3015967766356,682.7321836266328,874.1836184326999,924.9222274817406,18.2231482313963,8.882854692788209,"(0, 30]"
71,False,False,382.04833883347516,True,191.02416941673758,0.5,0.0,21.402462862748223,2812.74548999155,282.22760767686003,1084.3716801719852,899.8659838284271,-306.2995901282103,426.0777569384201,-1724.6929908573654,273.28994231569686,251.12995068177682,"(0, 30]"
73,False,False,685.8643622533228,True,342.9321811266614,0.5,5.684341886080802e-14,4.267033568015804,876.1292275888248,-372.1716370746616,780.0257594985899,327.8393463560965,694.8926457301075,-1212.1985461048766,1028.937823369616,162.90320850135444,168.71608980907538,"(0, 30]"
74,False,False,2047.9390696795333,True,1023.9695348397667,0.5,1.1368683772161603e-13,5.643911387566019,1521.6635971683493,-699.8023579448377,-56.70624684958384,-1082.089972970305,-956.5261728889103,225.82944149174824,1151.0461594072237,52.93675143462243,58.01932978553738,"(0, 30]"
75,False,False,269.08648341576907,True,134.54324170788453,0.5,0.0,21.142437826082404,1106.1424801905214,-719.0478429066197,-169.0612437587943,236.55399235390647,353.4432683859665,-1792.5077075202028,97.83781121485269,165.82862440163296,188.15067998130053,"(0, 30]"
76,False,False,2228.0010864095934,True,1114.0005432047967,0.5,0.0,178.26448133451427,1711.2554899119411,-236.58201972009886,1635.2489704564937,-355.5717197449956,-1555.9407449440034,-276.29534044364,-75.54564138645539,269.40833757935263,87.61010793573097,"(150, 180]"
77,False,False,112.53765870528316,True,56.26882935264158,0.5,0.0,62.14917388371372,1785.618240792835,266.7001471519562,-495.520717713544,-1194.6668486218625,403.30309453571965,-1418.5842639736231,-1085.6469376607752,198.88294711752744,260.68083541329634,"(60, 75]"
78,False,False,520.8926322524434,True,260.4463161262217,0.5,0.0,17.05828814730965,2803.2516401081093,-379.7461494255571,-1341.2405936464795,-753.9735987171089,-322.7085824928588,205.00327227465738,1400.3443259921717,78.77348518306512,61.01872041874135,"(0, 30]"
79,False,False,77.88887590023651,True,38.94443795011826,0.5,1.4210854715202004e-14,112.11811423299692,1385.5178403231791,644.5239973950976,-888.4959306413829,-451.0980744082974,865.3125763612564,-573.1823585459705,-227.54894596369218,151.39279559699762,263.48775463910357,"(105, 120]"
80,False,False,59.995400041748375,True,29.997700020874188,0.5,0.0,93.27143535458514,1247.7642421407686,-273.3543721246895,272.25486999302433,361.4310588795613,-1321.5946634727939,-668.2586383997268,-911.3693205518043,251.63297334692834,157.98497696051226,"(90, 105]"
81,False,False,422.9114299546061,True,211.45571497730305,0.5,0.0,15.9149196013386,2097.2272871838236,-1770.2372939103302,162.41731413816615,-402.08257844876346,312.98264350778936,324.9917210899775,70.8877079483631,356.50559071610303,341.41753547076036,"(0, 30]"
