相对S1距离,相对示向度方位角,x,y
1330.0,17.0,1271.8853254308372,388.8543672812399
1330.0,18.0,1264.9051666725543,410.99260251868003
1330.0,19.0,1257.5397055470914,433.0056454280184
1330.0,20.0,1249.791185645258,454.8867906231394
1330.0,21.0,1241.6619672412783,476.62937289524933
1330.0,22.0,1233.1545265738273,498.226769243163
1330.0000000000002,23.0,1224.2714550917458,519.6724008907341
1330.0,24.0,1215.0154586646593,540.9597352908143
1330.0,25.0,1205.3893567587445,562.0822881151303
1330.0,26.000000000000004,1195.3960815778921,583.033625229473
1330.0,27.0,1185.0386771705294,603.8073646535972
1350.0,14.0,1309.8992304725953,326.59455905955144
1350.0,14.999999999999998,1303.9998654902422,349.405710888403
1350.0000000000002,15.999999999999996,1297.7032895167306,372.11043035294887
1350.0,17.0,1291.011420550098,394.70180137569463
1350.0,18.0,1283.9262969984572,417.172942406179
1350.0000000000002,19.0,1276.4500770590778,439.51700851716157
1350.0,20.0,1268.5850380609763,461.72719348965273
1350.0,21.0,1260.3335757712223,483.7967318861554
1350.0,22.0,1251.698203665163,505.7189011114812
1350.0000000000002,23.0,1242.6815521607946,527.4870234605196
1349.9999999999998,24.000000000000004,1233.286367817511,549.0944681523303
1350.0,25.000000000000004,1223.5155124994774,570.5346533499443
1350.0,26.0,1213.3719625038755,591.8010481652545
1350.0,27.0,1202.8588076542967,612.8871746483882
1350.0000000000002,28.0,1191.9792503595515,633.7866097609526
1370.0,14.000000000000002,1329.305144998115,331.4329969715448
1370.0,14.999999999999998,1323.3183820160236,354.58209179045343
1370.0,16.0,1316.9285234354968,377.62317746928886
1369.9999999999998,17.000000000000004,1310.1375156693584,400.54923547014937
1370.0,17.999999999999996,1302.9474273243604,423.3532822936779
1370.0,19.0,1295.3604485710641,446.0283716063047
1370.0,20.0,1287.3788904766946,468.5675963561661
1370.0,21.0,1279.0051843011663,490.9640908770614
1370.0,22.0,1270.2418807564989,513.2110329797995
1370.0000000000002,22.999999999999996,1261.0916492298434,535.301646030305
1369.9999999999998,24.000000000000004,1251.557276970363,557.2292010138463
1370.0,25.000000000000004,1241.6416682402105,578.9870185847583
1370.0,26.000000000000004,1231.3478434298588,600.5684711010362
1370.0,27.0,1220.678938138064,621.9669846431791
1370.0,28.0,1209.63820221673,643.1760410166704
1390.0,13.999999999999998,1348.7110595236352,336.2714348835381
1390.0,14.999999999999996,1342.636898541805,359.7584726925038
1390.0,16.0,1336.1537573542632,383.13592458562886
1389.9999999999998,17.000000000000004,1329.2636107886192,406.3966695646041
1390.0,18.0,1321.9685576502634,429.5336221811769
1390.0000000000002,19.0,1314.2708200830505,452.5397346954478
1390.0000000000002,19.999999999999996,1306.1727428924128,475.4079992226795
1389.9999999999998,21.0,1297.6767928311103,498.1314498679674
1390.0,22.0,1288.7855578478345,520.7031648481177
1390.0,22.999999999999996,1279.5017462988922,543.1162686000905
