run,log_file,idx,vt_s,dt_s,action,channel,x,y,result
6,r06_20260912_222458.jsonl,41,894.292,6.0,measure,10,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,42,900.292,6.0,measure,14,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,43,906.292,6.0,measure,9,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,44,912.292,6.0,measure,15,-575.0,-995.929,direction
6,r06_20260912_222458.jsonl,45,918.292,6.0,measure,8,-575.0,-995.929,direction
6,r06_20260912_222458.jsonl,46,924.292,6.0,measure,16,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,47,930.292,6.0,measure,7,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,48,936.292,6.0,measure,17,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,49,942.292,6.0,measure,6,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,50,948.292,6.0,measure,19,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,51,954.292,6.0,measure,4,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,52,960.292,6.0,measure,20,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,53,966.292,6.0,measure,3,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,54,972.292,6.0,measure,2,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,55,978.292,6.0,measure,1,-575.0,-995.929,no_signal
6,r06_20260912_222458.jsonl,56,984.292,6.0,measure,8,-575.0,-995.929,direction
6,r06_20260912_222458.jsonl,57,990.292,6.0,measure,15,-575.0,-995.929,direction
6,r06_20260912_222458.jsonl,58,1066.291,76.0,measure,8,-924.993,-993.73,direction
6,r06_20260912_222458.jsonl,59,1106.927,40.635,measure,8,-1065.187,-883.765,direction
6,r06_20260912_222458.jsonl,60,1135.927,29.0,measure,8,-1183.769,-865.372,direction
6,r06_20260912_222458.jsonl,61,1164.927,29.0,measure,8,-1285.951,-802.453,direction
6,r06_20260912_222458.jsonl,62,1183.63,18.704,clear,8,-1353.447,-790.659,success
6,r06_20260912_222458.jsonl,63,1259.63,76.0,measure,15,-1680.375,-665.687,direction
6,r06_20260912_222458.jsonl,64,1344.775,85.145,clear,15,-1355.937,-430.486,success
6,r06_20260912_222458.jsonl,65,1446.217,101.442,measure,14,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,66,1452.217,6.0,measure,16,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,67,1458.217,6.0,measure,13,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,68,1464.217,6.0,measure,17,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,69,1470.217,6.0,measure,11,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,70,1476.217,6.0,measure,19,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,71,1482.217,6.0,measure,10,-1150.0,0.0,no_signal
